baseline_method,target_method,metric,paired_cases,baseline_mean,baseline_std,baseline_median,target_mean,target_std,target_median,reduction_mean,reduction_std,reduction_median,reduction_ci95_low,reduction_ci95_high,absolute_delta_mean,absolute_delta_median,wins,ties,losses,win_rate,sign_test_p,effect_size
topology_process_aware,process_aware_beam_adaptive_polished,process_key,77,30764.052723407094,3197.5232130771083,29982.842676436427,29816.01645757435,2676.484241239061,28970.440461061968,2.8521105831732667,4.541885831005757,2.206417607073414,1.8336416398347621,3.9129091874813455,-948.0362658327413,-639.6928983937687,58,3,16,0.7532467532467533,9.674891137601899e-07,0.6279573483998593
topology_process_aware,process_aware_beam_adaptive_polished,machining_cost,77,30764.052723407094,3197.5232130771083,29982.842676436427,29816.01645757435,2676.484241239061,28970.440461061968,2.8521105831732667,4.541885831005757,2.206417607073414,1.8687949686265697,3.8536470436130554,-948.0362658327413,-639.6928983937687,58,3,16,0.7532467532467533,9.674891137601899e-07,0.6279573483998593
topology_process_aware,process_aware_beam_adaptive_polished,travel_mode_cost,77,10943.708567562937,1628.599700786548,10448.117018206834,9995.672301730196,1239.6369063187533,10271.983537645261,7.55540343630387,12.079199208300823,5.862462126177018,4.902676259221506,10.303958576992665,-948.0362658327416,-639.6928983937705,58,3,16,0.7532467532467533,9.674891137601899e-07,0.625488768420327
topology_process_aware,process_aware_beam_adaptive_polished,stability_penalty,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0.0,,0.0
topology_process_aware,process_aware_beam_adaptive_polished,hard_penalty,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0.0,,0.0
topology_process_aware,process_aware_beam_adaptive_polished,tool_event_count,77,69.53246753246754,13.416005575416076,69.0,61.45454545454545,11.055404101991183,63.0,11.13924598004941,7.69200109054758,11.688311688311689,9.465034278417926,12.834238811197158,-8.077922077922079,-9.0,64,4,9,0.8311688311688312,2.378889919863532e-11,1.4481596984870455
topology_process_aware,process_aware_beam_adaptive_polished,detour_count,77,32.077922077922075,27.091363570293474,24.0,36.03896103896104,17.966376647216624,41.0,-123.54459246038175,262.5504256088018,-35.483870967741936,-187.60558910839794,-70.98545214947757,3.961038961038961,9.0,29,3,45,0.37662337662337664,0.08050685743008212,-0.4705556739201874
topology_process_aware,process_aware_beam_adaptive_polished,runtime_ms,77,125.46527166233659,56.66509002111271,120.09491699999941,568.6487472597404,247.50151159262947,509.17241600000017,-429.475399465283,258.49941100465895,-457.4202216625329,-488.3787080966684,-373.8572742001485,443.18347559740386,434.4445830000003,0,0,77,0.0,1.3234889800848443e-23,-1.661417323142537
process_local_search_multistart,process_aware_beam_adaptive_polished,process_key,77,30743.19034985078,3175.7320009184027,29982.842676436427,29816.01645757435,2676.484241239061,28970.440461061968,2.793930882213354,4.514064963558825,2.206417607073414,1.776342412127564,3.8104451579749923,-927.1738922764293,-639.6928983937687,58,3,16,0.7532467532467533,9.674891137601899e-07,0.6189390061437349
process_local_search_multistart,process_aware_beam_adaptive_polished,machining_cost,77,30743.19034985078,3175.7320009184027,29982.842676436427,29816.01645757435,2676.484241239061,28970.440461061968,2.793930882213354,4.514064963558825,2.206417607073414,1.7675342260506588,3.8349647509046543,-927.1738922764293,-639.6928983937687,58,3,16,0.7532467532467533,9.674891137601899e-07,0.6189390061437349
process_local_search_multistart,process_aware_beam_adaptive_polished,travel_mode_cost,77,10922.846194006625,1600.6703713030092,10448.117018206834,9995.672301730196,1239.6369063187533,10271.983537645261,7.416506429201351,12.01707225568786,5.862462126177018,4.938600902010786,10.23171027249909,-927.1738922764298,-639.6928983937705,58,3,16,0.7532467532467533,9.674891137601899e-07,0.6171641703902552
process_local_search_multistart,process_aware_beam_adaptive_polished,stability_penalty,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0.0,,0.0
process_local_search_multistart,process_aware_beam_adaptive_polished,hard_penalty,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0.0,,0.0
process_local_search_multistart,process_aware_beam_adaptive_polished,tool_event_count,77,69.48051948051948,13.38889866726714,69.0,61.45454545454545,11.055404101991183,63.0,11.078882556733149,7.69201482791677,10.975609756097562,9.342086486162058,12.743305538435237,-8.025974025974026,-8.0,64,4,9,0.8311688311688312,2.378889919863532e-11,1.440309568375292
process_local_search_multistart,process_aware_beam_adaptive_polished,detour_count,77,32.5974025974026,27.02728767316072,31.0,36.03896103896104,17.966376647216624,41.0,-120.9344574973056,263.3101340069223,-20.58823529411765,-187.18869334887754,-68.30663589162518,3.4415584415584415,7.0,29,3,45,0.37662337662337664,0.08050685743008212,-0.45928523774222185
process_local_search_multistart,process_aware_beam_adaptive_polished,runtime_ms,77,268.975063857142,67.82675251171523,256.08937499999485,568.6487472597404,247.50151159262947,509.17241600000017,-117.91495686452909,88.45271875972489,-144.42394344970506,-137.96349028811105,-97.75422952871583,299.6736834025984,315.99174900000014,8,0,69,0.1038961038961039,3.137352112678877e-13,-1.3330845961313653
process_aware_beam,process_aware_beam_adaptive_polished,process_key,77,30245.250081218142,2873.997823210406,29776.545333305432,29816.01645757435,2676.484241239061,28970.440461061968,1.3437311956761482,2.4832674918331477,0.0,0.8049103375611764,1.9155605116428136,-429.23362364379005,0.0,26,51,0,0.33766233766233766,2.9802322387695312e-08,0.5411141570915527
process_aware_beam,process_aware_beam_adaptive_polished,machining_cost,77,30245.250081218142,2873.997823210406,29776.545333305432,29816.01645757435,2676.484241239061,28970.440461061968,1.3437311956761482,2.4832674918331477,0.0,0.8169222379636575,1.9036790011503737,-429.23362364379005,0.0,26,51,0,0.33766233766233766,2.9802322387695312e-08,0.5411141570915527
process_aware_beam,process_aware_beam_adaptive_polished,travel_mode_cost,77,10424.905925373985,1499.9238085630386,10622.983537645261,9995.672301730196,1239.6369063187533,10271.983537645261,3.6115992328363915,6.543852921779011,0.0,2.196396768182287,5.1803111197075475,-429.23362364379,0.0,26,51,0,0.33766233766233766,2.9802322387695312e-08,0.5519071525609018
process_aware_beam,process_aware_beam_adaptive_polished,stability_penalty,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0.0,,0.0
process_aware_beam,process_aware_beam_adaptive_polished,hard_penalty,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0.0,,0.0
process_aware_beam,process_aware_beam_adaptive_polished,tool_event_count,77,61.896103896103895,10.709365261344573,63.0,61.45454545454545,11.055404101991183,63.0,0.7567320735277131,3.4165300169664876,0.0,0.08103940289089605,1.5384457090341155,-0.44155844155844154,0.0,11,60,6,0.14285714285714285,0.332305908203125,0.22149141666245628
process_aware_beam,process_aware_beam_adaptive_polished,detour_count,77,38.27272727272727,18.11266068189784,41.0,36.03896103896104,17.966376647216624,41.0,-2.2014234310443124,53.04928884251067,0.0,-14.699802975794825,9.209911795736446,-2.2337662337662336,0.0,16,53,8,0.2077922077922078,0.15158963203430176,-0.04149769919781125
process_aware_beam,process_aware_beam_adaptive_polished,runtime_ms,77,347.9464799610385,139.80422730201576,346.1070830000068,568.6487472597404,247.50151159262947,509.17241600000017,-88.58036944859083,90.70526046792597,-106.92792074256019,-108.26944025122202,-68.32258890604646,220.7022672987019,335.76075099999514,24,0,53,0.3116883116883117,0.0012632268710478357,-0.976573673804878
